id,Y,Month,Day,Temperature,Relative Humidity
153,4,Julii,Saturday,24.6,43
154,4,September,Friday,20.1,47
155,5,September,Saturday,29.6,27
156,4,Agustus,Sunday,16.4,47
157,4,September,Saturday,28.6,27
158,2,Agustus,Wednesday,18.4,45
159,4,Agustus,Wednesday,20.5,35
160,4,September,Friday,19,34
161,4,Maret,Monday,16.1,29
162,4,Agustus,Thursday,20.3,41
163,3,Maret,Saturday,15.2,31
164,6,September,Saturday,17.8,56
165,5,September,Sunday,17.8,67
166,5,Maret,Thursday,5.3,70
167,5,Agustus,Wednesday,16.6,47
168,5,Agustus,Wednesday,23.4,33
169,5,Maret,Friday,14.6,26
170,6,Agustus,Thursday,20.7,45
171,4,September,Wednesday,21.9,35
172,6,Agustus,Wednesday,17.4,50
173,4,Agustus,Sunday,20.1,39
174,4,September,Monday,17.7,39
175,4,Agustus,Saturday,14.2,53
176,4,Agustus,Saturday,20.3,39
177,5,April,Thursday,5.8,54
178,5,Agustus,Sunday,19.2,44
179,5,September,Wednesday,18.3,45
180,6,Agustus,Tuesday,14.4,66
181,3,September,Sunday,23.9,32
182,6,Oktober,Monday,19.1,32
183,4,Februari,Sunday,12.4,53
184,4,Oktober,Monday,16.8,45
185,6,Agustus,Friday,20.8,34
186,5,September,Tuesday,17.6,46
187,6,Maret,Sunday,11.5,39
188,5,September,Monday,21,42
189,4,Maret,Saturday,13.3,42
190,4,Maret,Sunday,11.5,60
191,5,Maret,Friday,11.7,33
192,5,Agustus,Thursday,24.2,28
193,2,Agustus,Tuesday,24.6,22
194,5,September,Wednesday,24.3,25
195,2,Agustus,Tuesday,24.6,22
196,5,Agustus,Friday,23.5,36
197,5,April,Thursday,5.8,54
198,5,September,Thursday,21.5,15
199,4,September,Tuesday,13.9,59
200,4,September,Monday,22.6,38
201,5,September,Tuesday,21.6,33
202,5,Maret,Sunday,12.4,54
203,4,Februari,Sunday,8.8,68
204,6,Oktober,Wednesday,20.2,37
205,6,Maret,Saturday,15.1,64
206,5,September,Thursday,22.1,34
207,2,Agustus,Saturday,22.9,31
208,5,September,Tuesday,20.7,37
209,5,September,Friday,19.6,33
210,3,September,Thursday,23.2,26
211,4,Oktober,Saturday,18.4,25
212,4,Agustus,Saturday,5.1,96
213,4,September,Friday,20.1,47
214,3,Maret,Monday,11,46
215,4,Maret,Saturday,17,27
216,4,Maret,Saturday,17,27
217,4,September,Sunday,16.9,60
218,3,September,Monday,12.4,73
219,5,September,Wednesday,19.4,19
220,5,Maret,Monday,15.2,27
221,6,Agustus,Sunday,16.2,59
222,4,September,Friday,18.6,49
223,3,Maret,Monday,11,46
224,2,Julii,Friday,13.4,79
225,4,September,Wednesday,15.4,57
226,4,September,Sunday,22.9,39
227,5,Oktober,Monday,16.1,44
228,6,Agustus,Saturday,20.1,34
229,6,September,Sunday,28.3,26
230,6,Agustus,Saturday,16.4,43
231,4,September,Wednesday,26.4,21
232,5,September,Sunday,27.8,27
233,4,September,Tuesday,18.7,43
234,4,September,Tuesday,24.3,36
235,5,September,Saturday,17.7,25
236,6,Agustus,Sunday,19.6,41
237,2,September,Saturday,18.2,46
238,2,September,Tuesday,18.8,40
239,5,September,Saturday,25.1,27
240,5,April,Sunday,13.4,75
241,3,April,Wednesday,15.2,51
242,4,April,Friday,16.7,20
243,4,Agustus,Sunday,15.4,66
244,4,Agustus,Sunday,21.9,73
245,4,Agustus,Sunday,22.4,54
246,4,Agustus,Sunday,26.8,38
247,4,Agustus,Sunday,25.7,39
248,4,Agustus,Wednesday,20.7,70
249,6,Agustus,Wednesday,28.7,28
250,4,Agustus,Wednesday,21.7,40
251,5,Agustus,Wednesday,26.8,25
252,5,Agustus,Wednesday,24,36
253,5,Agustus,Wednesday,22.1,37
254,4,Agustus,Thursday,21.4,38
255,3,Agustus,Thursday,18.9,41
256,5,Agustus,Thursday,22.3,46
257,6,Agustus,Saturday,23.9,41
258,3,Agustus,Saturday,21.4,44
259,4,Agustus,Saturday,20.6,59
260,4,Agustus,Saturday,23.7,40
261,4,Agustus,Monday,28.3,32
262,4,Agustus,Friday,11.2,84
263,4,Agustus,Friday,21.4,42
264,3,Agustus,Friday,19.3,39
265,4,Agustus,Friday,21.8,53
266,4,Agustus,Tuesday,22.1,54
267,5,Agustus,Tuesday,19.4,55
268,2,Agustus,Tuesday,23.7,24
269,4,Agustus,Tuesday,21,32
270,4,Agustus,Tuesday,19.1,53
271,2,Agustus,Tuesday,21.8,56
272,6,Agustus,Tuesday,20.1,58
273,5,Agustus,Tuesday,20.2,47
274,6,dec,Sunday,4.8,57
275,6,dec,Wednesday,5.1,61
276,6,dec,Thursday,5.1,61
277,4,dec,Monday,4.6,21
278,4,dec,Monday,4.6,21
279,4,dec,Monday,4.6,21
280,4,dec,Monday,4.6,21
281,6,dec,Friday,2.2,59
282,5,dec,Tuesday,5.1,24
283,3,Februari,Sunday,4.2,51
284,4,Februari,Wednesday,8.8,35
285,4,Februari,Friday,7.5,46
286,5,Julii,Sunday,23.4,40
287,6,Julii,Wednesday,12.6,90
288,4,Julii,Saturday,22.1,49
289,4,Julii,Saturday,24.2,32
290,4,Julii,Saturday,24.3,30
291,5,Julii,Saturday,18.7,53
292,4,Julii,Saturday,25.3,39
293,5,Julii,Friday,22.9,40
294,6,Julii,Tuesday,26.9,28
295,6,Julii,Tuesday,17.1,67
296,5,Juni,Sunday,22.2,48
297,4,Juni,Sunday,14.3,46
298,6,Juni,Sunday,15.4,45
299,6,Juni,Wednesday,19.6,43
300,5,Juni,Saturday,10.6,90
301,5,Juni,Monday,20.7,25
302,5,Juni,Monday,19.1,39
303,6,Juni,Friday,19.2,38
304,6,Juni,Friday,19.2,38
305,5,may,Saturday,11.3,94
306,4,September,Sunday,19,52
307,4,September,Sunday,17.1,53
308,4,September,Sunday,23.8,35
309,4,September,Sunday,16,45
310,4,September,Sunday,24.9,27
311,4,September,Sunday,25.3,27
312,3,September,Sunday,24.8,28
313,4,September,Sunday,12.2,78
314,5,September,Wednesday,24.3,27
315,4,September,Wednesday,19.7,41
316,4,September,Wednesday,18.5,30
317,5,September,Thursday,18.6,24
318,4,September,Thursday,19.2,24
319,5,September,Thursday,21.6,27
320,4,September,Thursday,21.6,28
321,3,September,Thursday,18.9,34
322,4,September,Thursday,16.8,28
323,5,September,Thursday,16.8,28
324,5,September,Thursday,12.9,39
325,5,September,Thursday,13.7,56
326,4,September,Saturday,24.2,27
327,4,September,Saturday,24.1,27
328,5,September,Saturday,21.2,32
329,5,September,Saturday,19.7,35
330,3,September,Saturday,23.5,27
331,3,September,Saturday,24.2,27
332,4,September,Saturday,21.5,28
333,4,September,Saturday,17.1,41
334,4,September,Monday,18.1,54
335,3,September,Monday,18,51
336,3,September,Monday,9.8,86
337,4,September,Monday,19.3,44
338,3,September,Monday,23,34
339,6,September,Monday,22.7,35
340,4,September,Monday,20.4,41
341,5,September,Monday,19.3,44
342,6,September,Monday,15.7,51
343,3,September,Monday,20.6,37
344,6,September,Monday,15.9,51
345,3,September,Monday,12.2,66
346,2,September,Monday,16.8,43
347,4,September,Monday,21.3,35
348,4,September,Friday,10.1,75
349,4,September,Friday,17.4,57
350,4,September,Friday,12.8,64
351,4,September,Friday,10.1,75
352,4,September,Friday,15.4,53
353,4,September,Friday,20.6,43
354,4,September,Friday,19.8,47
355,4,September,Friday,18.7,50
356,4,September,Friday,20.8,35
357,4,September,Friday,20.8,35
358,3,September,Friday,15.9,55
359,3,September,Friday,19.7,39
360,4,September,Friday,21.1,39
361,5,September,Friday,18.4,42
362,3,September,Friday,17.3,45
363,4,September,Friday,15.2,64
364,3,September,Tuesday,15.9,53
365,5,September,Tuesday,21.1,35
366,5,September,Tuesday,19.6,45
367,5,September,Tuesday,15.9,38
368,5,September,Tuesday,16.4,27
369,5,September,Saturday,16.8,47
370,5,September,Sunday,13.8,77
371,4,September,Sunday,13.8,77
372,4,Julii,Wednesday,14.2,58
373,5,Agustus,Sunday,10.4,75
374,4,Agustus,Thursday,20.3,42
375,5,September,Friday,10.3,78
376,5,September,Saturday,15.4,57
377,6,Agustus,Monday,21.1,54
378,2,Agustus,Saturday,21.9,42
379,5,Maret,Thursday,8.7,51
380,5,Januari,Sunday,5.2,100
381,4,Julii,Wednesday,19.3,39
382,6,Agustus,Thursday,16.2,63
383,6,Agustus,Wednesday,28.2,29
384,6,Agustus,Thursday,20.5,58
385,4,Agustus,Saturday,21.3,44
386,4,Agustus,Sunday,20.9,50
387,4,September,Sunday,20.6,55
388,5,Maret,Thursday,11.6,48
389,4,Agustus,Friday,23.3,34
390,4,Agustus,Friday,23.3,34
391,4,Februari,Monday,7.5,71
392,6,September,Friday,20.7,46
393,3,September,Sunday,21.9,43
394,4,Maret,Tuesday,15.2,19
395,5,Februari,Monday,5.3,68
396,5,Februari,Sunday,10.1,62
397,3,September,Sunday,20.4,55
398,6,Agustus,Sunday,24.3,33
399,2,Agustus,Saturday,25.9,32
400,5,Juni,Wednesday,28,34
401,5,Juni,Wednesday,28,34
402,4,September,Thursday,22.8,46
403,9,Agustus,Friday,25,36
404,6,Agustus,Thursday,21.3,41
405,4,September,Wednesday,21.8,34
406,2,Agustus,Tuesday,27.9,27
407,5,September,Saturday,17,67
408,5,Februari,Saturday,14.2,46
409,3,September,Friday,19.9,44
410,4,Julii,Tuesday,23.4,31
411,3,Februari,Friday,14.7,42
412,4,Februari,Friday,8.2,53
413,4,Julii,Monday,22.8,27
414,5,Agustus,Saturday,26.4,33
415,4,Agustus,Sunday,24.1,50
416,6,Agustus,Thursday,27.5,27
417,3,Julii,Tuesday,26.3,39
418,5,Maret,Wednesday,13.8,24
419,4,Agustus,Sunday,24.9,42
420,5,Agustus,Sunday,24.8,36
421,8,Agustus,Wednesday,26.2,36
422,4,Agustus,Wednesday,30.8,19
423,6,Julii,Sunday,29.3,27
424,3,September,Saturday,22.3,48
425,6,Agustus,Saturday,26.9,31
426,2,Agustus,Thursday,20.4,56
427,6,Agustus,Thursday,20.4,56
428,4,Agustus,Monday,27.9,33
429,3,Agustus,Thursday,26.2,34
430,4,Agustus,Sunday,24.6,44
431,4,September,Thursday,19.4,45
432,3,Agustus,Saturday,23.3,40
433,6,Agustus,Thursday,23.9,38
434,4,Agustus,Sunday,20.9,66
435,4,Agustus,Friday,22.2,45
436,5,Julii,Saturday,23.8,51
437,6,Agustus,Monday,26.8,35
438,6,Agustus,Saturday,14.2,73
439,5,Agustus,Saturday,23.6,53
440,3,September,Friday,19.1,46
441,4,September,Friday,16.2,58
442,6,Agustus,Monday,25.5,29
443,5,April,Monday,10.9,64
444,2,Julii,Friday,14.8,78
445,5,September,Friday,16.2,58
446,5,Agustus,Sunday,17.3,80
447,5,Agustus,Sunday,19.1,70
448,4,Maret,Wednesday,8.9,35
449,4,September,Wednesday,10.5,77
450,4,Agustus,Sunday,19.3,61
451,5,Agustus,Wednesday,23.4,49
452,4,Agustus,Friday,11.8,88
453,4,Agustus,Monday,17.7,65
454,5,Agustus,Thursday,17.4,54
455,4,Agustus,Thursday,16.8,56
456,4,Julii,Monday,17.9,48
457,4,Agustus,Thursday,16.6,59
458,4,Agustus,Wednesday,19.9,50
459,6,Agustus,Saturday,18.9,64
460,4,Agustus,Saturday,15.5,72
461,5,Agustus,Saturday,18.9,64
462,6,Agustus,Saturday,18.9,64
463,4,September,Sunday,14.5,76
464,5,Februari,Tuesday,4.6,82
465,4,Februari,Tuesday,5.1,77
466,2,Februari,Saturday,4.6,59
467,5,Maret,Monday,10.2,45
468,4,Maret,Wednesday,11.2,41
469,5,Maret,Thursday,13.3,27
470,3,April,Sunday,13.7,33
471,4,April,Sunday,17.6,27
472,3,may,Friday,18,40
473,3,Juni,Monday,14.3,79
474,4,Juni,Saturday,24.5,50
475,3,Juni,Thursday,26.4,35
476,5,Juni,Thursday,22.7,40
477,3,Julii,Thursday,27.2,28
478,3,Julii,Sunday,26.1,45
479,4,Julii,Sunday,18.2,82
480,4,Julii,Monday,22.6,57
481,9,Julii,Thursday,30.2,25
482,3,Julii,Thursday,30.2,22
483,4,Agustus,Sunday,23.4,40
484,6,Agustus,Sunday,31,27
485,5,Agustus,Sunday,33.1,25
486,4,Agustus,Monday,30.6,28
487,4,Agustus,Tuesday,24.1,43
488,4,Agustus,Tuesday,26.4,34
489,4,Agustus,Tuesday,19.4,71
490,4,Agustus,Wednesday,20.6,58
491,4,Agustus,Wednesday,28.7,33
492,4,Agustus,Thursday,32.4,21
493,3,Agustus,Friday,32.4,27
494,3,Agustus,Friday,27.5,29
495,6,Agustus,Saturday,30.8,30
496,6,Agustus,Monday,23.9,42
497,5,Agustus,Monday,32.6,26
498,4,Agustus,Tuesday,32.3,27
499,5,Agustus,Tuesday,33.3,26
500,5,Agustus,Tuesday,27.3,63
501,6,Agustus,Tuesday,21.6,65
502,5,Agustus,Tuesday,21.6,65
503,4,Agustus,Tuesday,20.7,69
504,4,Agustus,Wednesday,29.2,30
505,3,Agustus,Wednesday,28.9,29
506,2,Agustus,Thursday,26.7,35
507,2,Agustus,Friday,18.5,73
508,4,Agustus,Friday,25.9,41
509,2,Agustus,Friday,25.9,41
510,4,Agustus,Friday,21.1,71
511,5,Agustus,Friday,18.2,62
512,6,Agustus,Sunday,27.8,35
513,3,Agustus,Sunday,27.8,32
514,4,Agustus,Sunday,21.9,71
515,4,Agustus,Sunday,21.2,70
516,4,Agustus,Saturday,25.6,42
517,3,November,Tuesday,11.8,31
