id,Y,Wind,Rain,Area
214,3,5.8,0,27.35
215,4,4.9,0,28.66
216,4,4.9,0,28.66
217,4,1.3,0,29.48
218,3,6.3,0,30.32
219,5,1.3,0,31.72
220,5,3.1,0,31.86
221,6,3.1,0,32.07
222,4,3.6,0,35.88
223,3,5.8,0,36.85
224,2,3.6,0,37.02
225,4,4.5,0,37.71
226,4,4.9,0,48.55
227,5,4,0,49.37
228,6,4.5,0,58.3
229,6,3.1,0,64.1
230,6,4,0,71.3
231,4,4.5,0,88.49
232,5,3.1,0,95.18
233,4,2.7,0,103.39
234,4,3.1,0,105.66
235,5,3.1,0,154.88
236,6,5.8,0,196.48
237,2,1.8,0,200.94
238,2,2.2,0,212.88
239,5,4,0,1090.84
240,5,1.8,0,0
241,3,2.7,0,0
242,4,3.1,0,0
243,4,4,0,10.13
244,4,7.6,1,0
245,4,7.6,0,2.87
246,4,6.3,0,0.76
247,4,5.4,0,0.09
248,4,2.2,0,0.75
249,6,2.7,0,0
250,4,0.4,0,2.47
251,5,3.1,0,0.68
252,5,3.1,0,0.24
253,5,3.6,0,0.21
254,4,2.7,0,1.52
255,3,3.1,0,10.34
256,5,4,0,0
257,6,2.2,0,8.02
258,3,2.7,0,0.68
259,4,0.9,0,0
260,4,1.8,0,1.38
261,4,4,0,8.85
262,4,7.6,0,3.3
263,4,3.1,0,4.25
264,3,3.6,0,1.56
265,4,3.1,0,6.54
266,4,7.6,0,0.79
267,5,4,0,0.17
268,2,3.1,0,0
269,4,3.1,0,0
270,4,2.7,0,4.4
271,2,3.1,0,0.52
272,6,4.5,0,9.27
273,5,4,0,3.09
274,6,8.5,0,8.98
275,6,8,0,11.19
276,6,4.9,0,5.38
277,4,8.5,0,17.85
278,4,8.5,0,10.73
279,4,8.5,0,22.03
280,4,8.5,0,9.77
281,6,4.9,0,9.27
282,5,8.5,0,24.77
283,3,4,0,0
284,4,3.1,0,1.1
285,4,8,0,24.24
286,5,6.3,0,0
287,6,7.6,0.2,0
288,4,2.7,0,0
289,4,1.8,0,0
290,4,1.8,0,0
291,5,1.8,0,0
292,4,0.9,0,8
293,5,1.3,0,2.64
294,6,5.4,0,86.45
295,6,3.6,0,6.57
296,5,1.3,0,0
297,4,1.8,0,0.9
298,6,2.2,0,0
299,6,4.9,0,0
300,5,2.7,0,0
301,5,4.9,0,0
302,5,5.4,0,3.52
303,6,4.5,0,0
304,6,4.5,0,0
305,5,4.9,0,0
306,4,2.2,0,0
307,4,5.4,0,0.41
308,4,3.6,0,5.18
309,4,1.8,0,0
310,4,2.2,0,0
311,4,2.7,0,0
312,3,1.8,0,14.29
313,4,6.3,0,0
314,5,4.9,0,0
315,4,1.8,0,1.58
316,4,2.7,0,0
317,5,5.8,0,0
318,4,4.9,0,3.78
319,5,2.2,0,0
320,4,6.3,0,4.41
321,3,7.2,0,34.36
322,4,4,0,7.21
323,5,4,0,1.01
324,5,2.7,0,2.18
325,5,1.8,0,4.42
326,4,3.1,0,0
327,4,3.1,0,0
328,5,2.2,0,0
329,5,1.8,0,0
330,3,4,0,3.33
331,3,3.1,0,6.58
332,4,4.5,0,15.64
333,4,2.2,0,11.22
334,4,3.1,0,2.13
335,3,5.4,0,0
336,3,1.8,0,0
337,4,2.2,0,0
338,3,2.2,0,56.04
339,6,2.2,0,7.48
340,4,1.8,0,1.47
341,5,2.2,0,3.93
342,6,2.2,0,0
343,3,1.8,0,0
344,6,4.5,0,2.18
345,3,4.9,0,6.1
346,2,3.1,0,5.83
347,4,2.2,0,28.19
348,4,3.6,0,0
349,4,4.5,0,0
350,4,3.6,0,1.64
351,4,3.6,0,3.71
352,4,6.3,0,7.31
353,4,3.6,0,2.03
354,4,2.7,0,1.72
355,4,2.2,0,5.97
356,4,4.9,0,13.06
357,4,4.9,0,1.26
358,3,3.6,0,0
359,3,2.7,0,0
360,4,2.2,0,8.12
361,5,2.2,0,1.09
362,3,4,0,3.94
363,4,3.1,0,0.52
364,3,2.2,0,2.93
365,5,2.7,0,5.65
366,5,3.1,0,20.03
367,5,5.4,0,1.75
368,5,3.6,0,0
369,5,4.9,0,12.64
370,5,7.6,0,0
371,4,7.6,0,11.06
372,4,4,0,0
373,5,0.9,0,0
374,4,2.7,0,0
375,5,4,0,18.3
376,5,4.9,0,39.35
377,6,2.2,0,0
378,2,2.2,0,174.63
379,5,5.8,0,0
380,5,0.9,0,0
381,4,7.2,0,7.73
382,6,2.7,0,16.33
383,6,1.8,0,5.86
384,6,2.7,0,42.87
385,4,4.5,0,12.18
386,4,2.2,0,16
387,4,5.4,0,24.59
388,5,5.4,0,0
389,4,3.1,0,28.74
390,4,3.1,0,0
391,4,6.3,0,9.96
392,6,2.7,0,30.18
393,3,4,0,70.76
394,4,7.6,0,0
395,5,1.8,0,0
396,5,1.8,0,51.78
397,3,4.9,0,3.64
398,6,3.6,0,3.63
399,2,3.1,0,0
400,5,4.5,0,0
401,5,4.5,0,8.16
402,4,4,0,4.95
403,9,4,0,0
404,6,3.6,0,0
405,4,2.2,0,6.04
406,2,2.2,0,0
407,5,4.9,0,3.95
408,5,4,0,0
409,3,3.1,0,7.8
410,4,5.4,0,0
411,3,2.7,0,0
412,4,9.4,0,4.62
413,4,4.5,0,1.63
414,5,3.6,0,0
415,4,4,0,0
416,6,4.9,0,746.28
417,3,3.1,0,7.02
418,5,5.8,0,0
419,4,5.4,0,2.44
420,5,4,0,3.05
421,8,4.5,0,185.76
422,4,4.5,0,0
423,6,3.6,0,6.3
424,3,4,0,0.72
425,6,3.6,0,4.96
426,2,2.2,0,0
427,6,2.2,0,0
428,4,2.2,0,2.35
429,3,5.8,0,0
430,4,4,0,3.2
431,4,3.6,0,0
432,3,4,0,6.36
433,6,6.7,0,0
434,4,4.9,0,15.34
435,4,3.6,0,0
436,5,1.8,0,0
437,6,1.3,0,0.54
438,6,2.7,0,0
439,5,4,0,6.43
440,3,2.2,0,0.33
441,4,3.6,0,0
442,6,1.8,0,1.23
443,5,3.1,0,3.35
444,2,8,0,0
445,5,3.6,0,9.96
446,5,4.5,0,0
447,5,2.2,0,0
448,4,8,0,0
449,4,4,0,0
450,4,4.9,0,0
451,5,5.4,0,6.43
452,4,4.9,0,9.71
453,4,4,0,0
454,5,3.1,0,0
455,4,3.1,0,0
456,4,2.7,0,0
457,4,2.7,0,0
458,4,4,0,82.75
459,6,4.9,0,3.32
460,4,8,0,1.94
461,5,4.9,0,0
462,6,4.9,0,0
463,4,7.6,0,3.71
464,5,6.3,0,5.39
465,4,5.4,0,2.14
466,2,0.9,0,6.84
467,5,5.8,0,3.18
468,4,5.4,0,5.55
469,5,3.6,0,6.61
470,3,9.4,0,61.13
471,4,5.8,0,0
472,3,4,0,38.48
473,3,4,0,1.94
474,4,3.1,0,70.32
475,3,2.7,0,10.08
476,5,9.4,0,3.19
477,3,1.3,0,1.76
478,3,4,0,7.36
479,4,4.5,0,2.21
480,4,4.9,0,278.53
481,9,4.5,0,2.75
482,3,4.9,0,0
483,4,5.8,0,1.29
484,6,5.4,0,0
485,5,4,0,26.43
486,4,3.6,0,2.07
487,4,6.3,0,2
488,4,3.6,0,16.4
489,4,7.6,0,46.7
490,4,1.3,0,0
491,4,4,0,0
492,4,4.5,0,0
493,3,2.2,0,0
494,3,4.5,0,43.32
495,6,4.9,0,8.59
496,6,2.2,0,0
497,5,3.1,0,2.77
498,4,2.2,0,14.68
499,5,2.7,0,40.54
500,5,4.9,6.4,10.82
501,6,4.9,0.8,0
502,5,4.9,0.8,0
503,4,4.9,0.4,0
504,4,4.9,0,1.95
505,3,4.9,0,49.59
506,2,1.8,0,5.8
507,2,8.5,0,0
508,4,3.6,0,0
509,2,3.6,0,0
510,4,7.6,1.4,2.17
511,5,5.4,0,0.43
512,6,2.7,0,0
513,3,2.7,0,6.44
514,4,5.8,0,54.29
515,4,6.7,0,11.16
516,4,4,0,0
517,3,4.5,0,0
